store_id,month,year,is_holiday,temperature,fuel_price,cpi,unemployment,fed_funds,ics,weekly_sales
1,2,2010,0,42.31,2.572,211.0963582,8.106,0.13,73.6,1643690.9
10,2,2010,0,54.34,2.962,126.4420645,9.765,0.13,73.6,2193048.75
37,2,2010,0,45.97,2.572,209.8529663,8.554,0.13,73.6,536006.73
17,2,2010,0,23.11,2.666,126.4420645,6.548,0.13,73.6,789036.02
30,2,2010,0,39.05,2.572,210.7526053,8.324,0.13,73.6,465108.52
25,2,2010,0,21.1,2.784,204.2471935,8.187,0.13,73.6,677231.63
22,2,2010,0,24.36,2.788,135.3524608,8.283,0.13,73.6,1033017.37
23,2,2010,0,15.25,2.788,131.5279032,5.892,0.13,73.6,1364721.58
24,2,2010,0,22.43,2.954,131.5279032,8.326,0.13,73.6,1388725.63
19,2,2010,0,20.96,2.954,131.5279032,8.35,0.13,73.6,1507637.17
21,2,2010,0,39.05,2.572,210.7526053,8.324,0.13,73.6,798593.88
26,2,2010,0,9.55,2.788,131.5279032,8.488,0.13,73.6,1034119.21
39,2,2010,0,44.3,2.572,209.8529663,8.554,0.13,73.6,1230596.8
8,2,2010,0,34.14,2.572,214.4714512,6.299,0.13,73.6,1004137.09
32,2,2010,0,34.43,2.58,189.3816974,9.014,0.13,73.6,1087616.19
15,2,2010,0,19.83,2.954,131.5279032,8.35,0.13,73.6,652122.44
34,2,2010,0,35.44,2.598,126.4420645,9.521,0.13,73.6,956228.96
13,2,2010,0,31.53,2.666,126.4420645,8.316,0.13,73.6,1967220.53
38,2,2010,0,49.47,2.962,126.4420645,13.975,0.13,73.6,358496.14
9,2,2010,0,38.01,2.572,214.6554591,6.415,0.13,73.6,549505.55
2,2,2010,0,40.19,2.572,210.7526053,8.324,0.13,73.6,2136989.46
45,2,2010,0,27.31,2.784,181.8711898,8.992,0.13,73.6,890689.51
20,2,2010,0,25.92,2.784,204.2471935,8.187,0.13,73.6,2401395.47
27,2,2010,0,27.19,2.954,135.3524608,8.237,0.13,73.6,1874289.79
41,2,2010,0,30.27,2.58,189.3816974,7.541,0.13,73.6,1086533.18
4,2,2010,0,43.76,2.598,126.4420645,8.623,0.13,73.6,2135143.87
31,2,2010,0,39.05,2.572,210.7526053,8.324,0.13,73.6,1469252.05
16,2,2010,0,19.79,2.58,189.3816974,7.039,0.13,73.6,477409.3
11,2,2010,0,46.04,2.572,214.4248812,7.368,0.13,73.6,1528008.64
36,2,2010,0,45.97,2.545,209.8529663,8.554,0.13,73.6,467546.74
42,2,2010,0,54.34,2.962,126.4420645,9.765,0.13,73.6,543384.01
5,2,2010,0,39.7,2.572,211.6539716,6.566,0.13,73.6,317173.1
43,2,2010,0,47.31,2.572,203.0642742,9.521,0.13,73.6,647029.28
35,2,2010,0,27.19,2.784,135.3524608,9.262,0.13,73.6,1230613.5
28,2,2010,0,49.47,2.962,126.4420645,13.975,0.13,73.6,1672352.29
6,2,2010,0,40.43,2.572,212.6223518,7.259,0.13,73.6,1652635.1
33,2,2010,0,58.4,2.962,126.4420645,10.115,0.13,73.6,274593.43
44,2,2010,0,31.53,2.666,126.4420645,8.119,0.13,73.6,281090.95
18,2,2010,0,21.33,2.788,131.5279032,9.202,0.13,73.6,1205307.5
3,2,2010,0,45.71,2.572,214.4248812,7.368,0.13,73.6,461622.22
12,2,2010,0,49.47,2.962,126.4420645,13.975,0.13,73.6,1100046.37
29,2,2010,0,24.36,2.788,131.5279032,10.064,0.13,73.6,538634.46
40,2,2010,0,14.48,2.788,131.5279032,5.892,0.13,73.6,1001943.8
7,2,2010,0,10.53,2.58,189.3816974,9.014,0.13,73.6,496725.44
14,2,2010,0,27.31,2.784,181.8711898,8.992,0.13,73.6,2623469.95
8,2,2010,1,33.34,2.548,214.6214189,6.299,0.13,73.6,994801.4
15,2,2010,1,22.0,2.94,131.5866129,8.35,0.13,73.6,682447.1
