store_id,date,is_holiday,temperature,fuel_price,cpi,unemployment,fed_funds,ics,weekly_sales
1,2010-02-05,0,42.31,2.572,211.0963582,8.106,0.13,73.6,175.3991442674337
10,2010-02-05,0,54.34,2.962,126.4420645,9.765,0.13,73.6,189.97317567847995
37,2010-02-05,0,45.97,2.572,209.8529663,8.554,0.13,73.6,128.44829954712228
17,2010-02-05,0,23.11,2.666,126.4420645,6.548,0.13,73.6,143.06446735689195
30,2010-02-05,0,39.05,2.572,210.7526053,8.324,0.13,73.6,123.45838198166481
25,2010-02-05,0,21.1,2.784,204.2471935,8.187,0.13,73.6,137.10470330288499
22,2010-02-05,0,24.36,2.788,135.3524608,8.283,0.13,73.6,154.1944436331397
23,2010-02-05,0,15.25,2.788,131.5279032,5.892,0.13,73.6,166.58565363644945
24,2010-02-05,0,22.43,2.954,131.5279032,8.326,0.13,73.6,167.39311391884334
19,2010-02-05,0,20.96,2.954,131.5279032,8.35,0.13,73.6,171.2496215684104
21,2010-02-05,0,39.05,2.572,210.7526053,8.324,0.13,73.6,143.5446844672062
26,2010-02-05,0,9.55,2.788,131.5279032,8.488,0.13,73.6,154.24011801370372
39,2010-02-05,0,44.3,2.572,209.8529663,8.554,0.13,73.6,161.87263566740558
8,2010-02-05,0,34.14,2.572,214.4714512,6.299,0.13,73.6,152.98441020323625
32,2010-02-05,0,34.43,2.58,189.3816974,9.014,0.13,73.6,156.416280713807
15,2010-02-05,0,19.83,2.954,131.5279032,8.35,0.13,73.6,135.66879982234346
34,2010-02-05,0,35.44,2.598,126.4420645,9.521,0.13,73.6,150.9199790071476
13,2010-02-05,0,31.53,2.666,126.4420645,8.316,0.13,73.6,184.3462985331585
38,2010-02-05,0,49.47,2.962,126.4420645,13.975,0.13,73.6,114.78654366075826
9,2010-02-05,0,38.01,2.572,214.6554591,6.415,0.13,73.6,129.3430393477585
2,2010-02-05,0,40.19,2.572,210.7526053,8.324,0.13,73.6,188.61728088330065
45,2010-02-05,0,27.31,2.784,181.8711898,8.992,0.13,73.6,147.96999857229417
20,2010-02-05,0,25.92,2.784,204.2471935,8.187,0.13,73.6,194.80132461380828
27,2010-02-05,0,27.19,2.954,135.3524608,8.237,0.13,73.6,181.89351615370592
41,2010-02-05,0,30.27,2.58,189.3816974,7.541,0.13,73.6,156.3730080034769
4,2010-02-05,0,43.76,2.598,126.4420645,8.623,0.13,73.6,188.57220348716498
31,2010-02-05,0,39.05,2.572,210.7526053,8.324,0.13,73.6,170.0297439202648
16,2010-02-05,0,19.79,2.58,189.3816974,7.039,0.13,73.6,124.36210448158265
11,2010-02-05,0,46.04,2.572,214.4248812,7.368,0.13,73.6,171.88785487141695
36,2010-02-05,0,45.97,2.545,209.8529663,8.554,0.13,73.6,123.63888699825034
42,2010-02-05,0,54.34,2.962,126.4420645,9.765,0.13,73.6,128.93929448625204
5,2010-02-05,0,39.7,2.572,211.6539716,6.566,0.13,73.6,110.91438538382768
43,2010-02-05,0,47.31,2.572,203.0642742,9.521,0.13,73.6,135.372643238592
35,2010-02-05,0,27.19,2.784,135.3524608,9.262,0.13,73.6,161.87324527817282
28,2010-02-05,0,49.47,2.962,126.4420645,13.975,0.13,73.6,176.2411185247092
6,2010-02-05,0,40.43,2.572,212.6223518,7.259,0.13,73.6,175.66303502937038
33,2010-02-05,0,58.4,2.962,126.4420645,10.115,0.13,73.6,106.51842459343023
44,2010-02-05,0,31.53,2.666,126.4420645,8.119,0.13,73.6,107.21995627074052
18,2010-02-05,0,21.33,2.788,131.5279032,9.202,0.13,73.6,160.94248476716638
3,2010-02-05,0,45.71,2.572,214.4248812,7.368,0.13,73.6,123.19908441334448
12,2010-02-05,0,49.47,2.962,126.4420645,13.975,0.13,73.6,156.91070655640831
29,2010-02-05,0,24.36,2.788,131.5279032,10.064,0.13,73.6,128.62374952455676
40,2010-02-05,0,14.48,2.788,131.5279032,5.892,0.13,73.6,152.89148403476295
7,2010-02-05,0,10.53,2.58,189.3816974,9.014,0.13,73.6,125.74758919951321
14,2010-02-05,0,27.31,2.784,181.8711898,8.992,0.13,73.6,199.62240471411735
8,2010-02-12,1,33.34,2.548,214.6214189,6.299,0.13,73.6,152.58784100034765
15,2010-02-12,1,22.0,2.94,131.5866129,8.35,0.13,73.6,137.3980742270866
43,2010-02-12,1,47.99,2.548,203.2010968,9.521,0.13,73.6,137.4245374131505
5,2010-02-12,1,39.81,2.548,211.8004698,6.566,0.13,73.6,110.38689009034464
39,2010-02-12,1,44.58,2.548,209.9970208,8.554,0.13,73.6,163.15985243034223
26,2010-02-12,1,18.14,2.771,131.5866129,8.488,0.13,73.6,153.47121392944467
34,2010-02-12,1,36.13,2.573,126.4962581,9.521,0.13,73.6,152.5797244399338
33,2010-02-12,1,55.47,2.828,126.4962581,10.115,0.13,73.6,108.67077904693126
7,2010-02-12,1,25.9,2.572,189.4642725,9.014,0.13,73.6,127.64569001477771
13,2010-02-12,1,33.16,2.671,126.4962581,8.316,0.13,73.6,185.97953534487417
40,2010-02-12,1,20.84,2.771,131.5866129,5.892,0.13,73.6,150.8808921542781
12,2010-02-12,1,47.87,2.946,126.4962581,13.975,0.13,73.6,157.6123474195837
19,2010-02-12,1,23.22,2.94,131.5866129,8.35,0.13,73.6,172.15360800032306
38,2010-02-12,1,47.87,2.946,126.4962581,13.975,0.13,73.6,113.30184058113662
1,2010-02-12,1,38.51,2.548,211.2421698,8.106,0.13,73.6,175.34787907288765
9,2010-02-12,1,37.08,2.548,214.8056534,6.415,0.13,73.6,129.55095547742332
2,2010-02-12,1,38.49,2.548,210.8979935,8.324,0.13,73.6,188.6373007519178
45,2010-02-12,1,27.73,2.773,181.982317,8.992,0.13,73.6,135.95018886084196
20,2010-02-12,1,22.12,2.773,204.3857472,8.187,0.13,73.6,187.9332446997672
27,2010-02-12,1,29.81,2.94,135.4113076,8.237,0.13,73.6,178.33940285326665
4,2010-02-12,1,28.84,2.573,126.4962581,8.623,0.13,73.6,189.85948163870017
29,2010-02-12,1,28.14,2.771,131.5866129,10.064,0.13,73.6,128.02281064804856
31,2010-02-12,1,37.77,2.548,210.8979935,8.324,0.13,73.6,172.3828975049334
18,2010-02-12,1,26.41,2.771,131.5866129,9.202,0.13,73.6,160.29321098966304
16,2010-02-12,1,20.87,2.572,189.4642725,7.039,0.13,73.6,123.97005491294696
11,2010-02-12,1,48.01,2.548,214.5747916,7.368,0.13,73.6,173.3271461849007
36,2010-02-12,1,46.11,2.539,209.9970208,8.554,0.13,73.6,123.78768784541933
42,2010-02-12,1,49.96,2.828,126.4962581,9.765,0.13,73.6,131.03520477151713
14,2010-02-12,1,27.73,2.773,181.982317,8.992,0.13,73.6,177.16499460790737
21,2010-02-12,1,37.77,2.548,210.8979935,8.324,0.13,73.6,144.07870859732785
32,2010-02-12,1,28.09,2.572,189.4642725,9.014,0.13,73.6,157.83520385644482
37,2010-02-12,1,46.11,2.548,209.9970208,8.554,0.13,73.6,128.03493681897183
41,2010-02-12,1,23.04,2.572,189.4642725,7.541,0.13,73.6,155.93666073550727
25,2010-02-12,1,19.64,2.773,204.3857472,8.187,0.13,73.6,131.51885670049026
17,2010-02-12,1,18.36,2.671,126.4962581,6.548,0.13,73.6,145.67199738002395
22,2010-02-12,1,28.14,2.771,135.4113076,8.283,0.13,73.6,153.7596488842653
28,2010-02-12,1,47.87,2.946,126.4962581,13.975,0.13,73.6,172.84605148937118
6,2010-02-12,1,40.57,2.548,212.7700425,7.259,0.13,73.6,174.28400565472933
3,2010-02-12,1,47.93,2.548,214.5747916,7.368,0.13,73.6,120.0454633474616
23,2010-02-12,1,18.75,2.771,131.5866129,5.892,0.13,73.6,167.13073072377134
10,2010-02-12,1,49.96,2.828,126.4962581,9.765,0.13,73.6,189.56420743288302
30,2010-02-12,1,37.77,2.548,210.8979935,8.324,0.13,73.6,125.793462180396
24,2010-02-12,1,25.94,2.94,131.5866129,8.326,0.13,73.6,168.23592134977218
44,2010-02-12,1,33.16,2.671,126.4962581,8.119,0.13,73.6,107.83269697650344
35,2010-02-12,1,29.81,2.773,135.4113076,9.262,0.13,73.6,159.57488821471537
45,2010-02-19,0,31.27,2.745,182.0347816,8.992,0.13,73.6,145.6388782577145
29,2010-02-19,0,31.96,2.747,131.637,10.064,0.13,73.6,128.8740238622077
41,2010-02-19,0,24.13,2.55,189.5340998,7.541,0.13,73.6,154.97783953863092
27,2010-02-19,0,32.44,2.909,135.4657781,8.237,0.13,73.6,183.76946680400752
42,2010-02-19,0,58.22,2.915,126.5262857,9.765,0.13,73.6,126.59347240426092
21,2010-02-19,0,39.75,2.514,210.9451605,8.324,0.13,73.6,146.87813335800627
36,2010-02-19,0,45.66,2.472,210.0451024,8.554,0.13,73.6,123.84049645572642
17,2010-02-19,0,25.06,2.654,126.5262857,6.548,0.13,73.6,143.65063790744307
18,2010-02-19,0,30.91,2.747,131.637,9.202,0.13,73.6,158.88300498965899
10,2010-02-19,0,58.22,2.915,126.5262857,9.765,0.13,73.6,188.03977488860565
16,2010-02-19,0,21.13,2.55,189.5340998,7.039,0.13,73.6,123.81014860331562
44,2010-02-19,0,35.7,2.654,126.5262857,8.119,0.13,73.6,105.78921733053546
37,2010-02-19,0,45.66,2.514,210.0451024,8.554,0.13,73.6,126.70364937589932
4,2010-02-19,0,36.45,2.54,126.5262857,8.623,0.13,73.6,186.45750826722409
31,2010-02-19,0,39.75,2.514,210.9451605,8.324,0.13,73.6,170.16225264130486
11,2010-02-19,0,48.3,2.514,214.6198868,7.368,0.13,73.6,171.112887655722
12,2010-02-19,0,54.83,2.915,126.5262857,13.975,0.13,73.6,156.72723042963713
14,2010-02-19,0,31.27,2.745,182.0347816,8.992,0.13,73.6,190.24838413217842
38,2010-02-19,0,54.83,2.915,126.5262857,13.975,0.13,73.6,111.8899073126858
25,2010-02-19,0,24.16,2.745,204.4321004,8.187,0.13,73.6,137.04990503975475
43,2010-02-19,0,48.77,2.514,203.2479796,9.521,0.13,73.6,136.06591169540897
7,2010-02-19,0,27.28,2.55,189.5340998,9.014,0.13,73.6,126.45192897739581
24,2010-02-19,0,31.05,2.909,131.637,8.326,0.13,73.6,167.28059867340392
19,2010-02-19,0,28.57,2.909,131.637,8.35,0.13,73.6,171.51163368265122
26,2010-02-19,0,22.62,2.747,131.637,8.488,0.13,73.6,152.7813358099822
35,2010-02-19,0,32.44,2.745,135.4657781,9.262,0.13,73.6,163.31801882522404
1,2010-02-19,0,39.93,2.514,211.2891429,8.106,0.13,73.6,174.45467107683976
39,2010-02-19,0,43.96,2.514,210.0451024,8.554,0.13,73.6,161.8724593537065
23,2010-02-19,0,26.7,2.747,131.637,5.892,0.13,73.6,165.03896681892255
3,2010-02-19,0,47.07,2.514,214.6198868,7.368,0.13,73.6,120.11827751375942
9,2010-02-19,0,43.06,2.514,214.8506185,6.415,0.13,73.6,126.76913884318242
8,2010-02-19,0,39.1,2.514,214.6664878,6.299,0.13,73.6,151.25816053925868
30,2010-02-19,0,39.75,2.514,210.9451605,8.324,0.13,73.6,123.33990907102218
32,2010-02-19,0,29.16,2.55,189.5340998,9.014,0.13,73.6,156.21394842320055
33,2010-02-19,0,62.16,2.915,126.5262857,10.115,0.13,73.6,108.87374452472123
28,2010-02-19,0,54.83,2.915,126.5262857,13.975,0.13,73.6,170.7332392236869
15,2010-02-19,0,27.54,2.909,131.637,8.35,0.13,73.6,136.17174808813596
5,2010-02-19,0,41.14,2.514,211.8471283,6.566,0.13,73.6,109.54701400025098
22,2010-02-19,0,31.96,2.747,135.4657781,8.283,0.13,73.6,152.31724236649146
2,2010-02-19,0,39.69,2.514,210.9451605,8.324,0.13,73.6,188.3104896961167
34,2010-02-19,0,38.36,2.54,126.5262857,9.521,0.13,73.6,152.12402504071738
6,2010-02-19,0,43.58,2.514,212.8161546,7.259,0.13,73.6,173.09658215905012
13,2010-02-19,0,35.7,2.654,126.5262857,8.316,0.13,73.6,184.4254613284521
40,2010-02-19,0,27.84,2.747,131.637,5.892,0.13,73.6,149.14050265330005
20,2010-02-19,0,25.43,2.745,204.4321004,8.187,0.13,73.6,189.2144677394579
44,2010-02-26,0,29.98,2.667,126.5522857,8.119,0.13,73.6,106.3531854677279
3,2010-02-26,0,52.05,2.561,214.6475127,7.368,0.13,73.6,118.95342215828008
9,2010-02-26,0,43.83,2.561,214.8780453,6.415,0.13,73.6,124.09675407234904
36,2010-02-26,0,50.87,2.52,210.0771885,8.554,0.13,73.6,122.13537494754681
14,2010-02-26,0,34.89,2.754,182.0774691,8.992,0.13,73.6,187.59926787205555
10,2010-02-26,0,52.77,2.825,126.5522857,9.765,0.13,73.6,185.36470358711247
11,2010-02-26,0,52.79,2.561,214.6475127,7.368,0.13,73.6,165.61969827914922
37,2010-02-26,0,50.87,2.561,210.0771885,8.554,0.13,73.6,126.92726262528733
25,2010-02-26,0,29.16,2.754,204.4630869,8.187,0.13,73.6,134.2816430708579
43,2010-02-26,0,48.77,2.561,203.2798724,9.521,0.13,73.6,133.69376885350906
15,2010-02-26,0,29.87,2.91,131.686,8.35,0.13,73.6,130.34300702841028
22,2010-02-26,0,35.98,2.753,135.5195191,8.283,0.13,73.6,148.3875708725862
21,2010-02-26,0,45.31,2.561,210.9759573,8.324,0.13,73.6,141.03689102942343
32,2010-02-26,0,26.64,2.586,189.6018023,9.014,0.13,73.6,155.027430137157
26,2010-02-26,0,27.32,2.753,131.686,8.488,0.13,73.6,146.31484884088985
33,2010-02-26,0,56.5,2.825,126.5522857,10.115,0.13,73.6,107.53582507347636
4,2010-02-26,0,41.36,2.59,126.5522857,8.623,0.13,73.6,183.26185132768163
38,2010-02-26,0,50.23,2.825,126.5522857,13.975,0.13,73.6,112.55412391535242
31,2010-02-26,0,45.31,2.561,210.9759573,8.324,0.13,73.6,165.89237677042775
40,2010-02-26,0,33.32,2.753,131.686,5.892,0.13,73.6,146.71936241917322
13,2010-02-26,0,29.98,2.667,126.5522857,8.316,0.13,73.6,180.36030876528764
34,2010-02-26,0,37.28,2.59,126.5522857,9.521,0.13,73.6,148.66181715379537
5,2010-02-26,0,46.7,2.561,211.8771468,6.566,0.13,73.6,106.04617898237704
8,2010-02-26,0,37.91,2.561,214.6940735,6.299,0.13,73.6,145.94281721452273
39,2010-02-26,0,49.79,2.561,210.0771885,8.554,0.13,73.6,159.5660458956686
6,2010-02-26,0,47.1,2.561,212.845337,7.259,0.13,73.6,168.85461444918118
19,2010-02-26,0,30.33,2.91,131.686,8.35,0.13,73.6,166.87438956527816
24,2010-02-26,0,33.98,2.91,131.686,8.326,0.13,73.6,159.19117108043963
23,2010-02-26,0,32.68,2.753,131.686,5.892,0.13,73.6,160.6974770267075
28,2010-02-26,0,50.23,2.825,126.5522857,13.975,0.13,73.6,172.32798596788942
12,2010-02-26,0,50.23,2.825,126.5522857,13.975,0.13,73.6,154.83782211088732
35,2010-02-26,0,36.0,2.754,135.5195191,9.262,0.13,73.6,153.67940225343034
30,2010-02-26,0,45.31,2.561,210.9759573,8.324,0.13,73.6,123.99106764313997
17,2010-02-26,0,15.64,2.667,126.5522857,6.548,0.13,73.6,141.03439270708347
7,2010-02-26,0,24.91,2.586,189.6018023,9.014,0.13,73.6,125.70216294579866
42,2010-02-26,0,52.77,2.825,126.5522857,9.765,0.13,73.6,125.37746910434605
16,2010-02-26,0,18.12,2.586,189.6018023,7.039,0.13,73.6,121.80793744165175
